SCATS Number,Latitude,Longitude,Closest SCATS,Distance (km),Speed Limit (km/h),Delay (seconds)
970,-37.86703,145.09159,3685,1.388490907417937,60,30
2000,-37.8516827,145.0943457,3685,0.3351267631352136,60,30
2200,-37.81631,145.09812,3126,1.277016559524857,60,30
2820,-37.79477,145.03077,4335,1.3329626354776454,60,30
2825,-37.78661,145.06202,4030,1.0016801733233087,60,30
2827,-37.78093,145.07733,2825,1.4863177788844155,60,30
2846,-37.8612671,145.058038,4043,1.6711188918018722,60,30
3001,-37.81441,145.02243,3002,0.37278463310571314,60,30
3002,-37.81489,145.02663,3001,0.37278463310571314,60,30
3120,-37.82264,145.05734,4035,0.6043106641440661,60,30
3122,-37.82379,145.06466,3120,0.655535069804118,60,30
3126,-37.82778,145.09885,3682,1.0326590319880056,60,30
3127,-37.82506,145.078,3122,1.1801605965165478,60,30
3180,-37.79611,145.08372,4057,0.9246715341969285,60,30
3662,-37.80876,145.02757,3002,0.6866085895592626,60,30
3682,-37.83695,145.09699,3126,1.0326590319880056,60,30
3685,-37.85467,145.09384,2000,0.3351267631352136,60,30
3804,-37.83331,145.06247,3812,0.46631455726208215,60,30
3812,-37.83738,145.06119,3804,0.46631455726208215,60,30
4030,-37.79561,145.06251,4051,0.6426775089943114,60,30
4032,-37.80202,145.06127,4030,0.7210382145737864,60,30
4034,-37.81147,145.05946,4035,0.6516194688658983,60,30
4035,-37.8172654,145.0583603,3120,0.6043106641440661,60,30
4040,-37.83256,145.05545,3804,0.622125696338341,60,30
4043,-37.84683,145.05275,4273,0.7896569548486578,60,30
4051,-37.79419,145.0696,4030,0.6426775089943114,60,30
4057,-37.80431,145.08197,3180,0.9246715341969285,60,30
4063,-37.81404,145.0801,4057,1.0943277356962149,60,30
4262,-37.82155,145.01503,4812,0.7925477777938367,60,30
4263,-37.8228462,145.0251292,4264,0.7955696454855435,60,30
4264,-37.82389,145.03409,4270,0.6316835182934001,60,30
4266,0.0,0.0,4812,14491.595461023033,60,30
4270,-37.82951,145.03304,4264,0.6316835182934001,60,30
4272,-37.83186,145.04668,4040,0.77412989853416,60,30
4273,-37.84632,145.04378,4043,0.7896569548486578,60,30
4321,-37.800776,145.0494611,4032,1.0467052974696838,60,30
4324,-37.809274,145.037306,4335,0.3856160058351167,60,30
4335,-37.80624,145.03518,4324,0.3856160058351167,60,30
4812,-37.82859,145.01644,4262,0.7925477777938367,60,30
4821,-37.81285,145.00849,4262,1.1251135150312188,60,30
