Last6VFlow,VFlow
[78 68 57 45 54 40],29
[68 57 45 54 40 29],24
[57 45 54 40 29 24],28
[45 54 40 29 24 28],24
[54 40 29 24 28 24],21
[40 29 24 28 24 21],15
[29 24 28 24 21 15],18
[24 28 24 21 15 18],24
[28 24 21 15 18 24],14
[24 21 15 18 24 14],10
[21 15 18 24 14 10],6
[15 18 24 14 10 6],16
[18 24 14 10 6 16],13
[24 14 10 6 16 13],17
[14 10 6 16 13 17],17
[10 6 16 13 17 17],25
[6 16 13 17 17 25],40
[16 13 17 17 25 40],35
[13 17 17 25 40 35],35
[17 17 25 40 35 35],56
[17 25 40 35 35 56],65
[25 40 35 35 56 65],59
[40 35 35 56 65 59],54
[35 35 56 65 59 54],39
[35 56 65 59 54 39],50
[56 65 59 54 39 50],66
[65 59 54 39 50 66],73
[59 54 39 50 66 73],94
[54 39 50 66 73 94],115
[39 50 66 73 94 115],118
[50 66 73 94 115 118],130
[66 73 94 115 118 130],148
[73 94 115 118 130 148],165
[94 115 118 130 148 165],170
[115 118 130 148 165 170],192
[118 130 148 165 170 192],189
[130 148 165 170 192 189],186
[148 165 170 192 189 186],176
[165 170 192 189 186 176],169
[170 192 189 186 176 169],169
[192 189 186 176 169 169],154
[189 186 176 169 169 154],208
[186 176 169 169 154 208],202
[176 169 169 154 208 202],208
[169 169 154 208 202 208],188
[169 154 208 202 208 188],200
[154 208 202 208 188 200],184
[208 202 208 188 200 184],185
[202 208 188 200 184 185],220
[208 188 200 184 185 220],203
[188 200 184 185 220 203],205
[200 184 185 220 203 205],186
[184 185 220 203 205 186],180
[185 220 203 205 186 180],193
[220 203 205 186 180 193],160
[203 205 186 180 193 160],176
[205 186 180 193 160 176],165
[186 180 193 160 176 165],192
[180 193 160 176 165 192],167
[193 160 176 165 192 167],183
[160 176 165 192 167 183],175
[176 165 192 167 183 175],191
[165 192 167 183 175 191],189
[192 167 183 175 191 189],206
[167 183 175 191 189 206],214
[183 175 191 189 206 214],154
[175 191 189 206 214 154],155
[191 189 206 214 154 155],163
[189 206 214 154 155 163],175
[206 214 154 155 163 175],203
[214 154 155 163 175 203],124
[154 155 163 175 203 124],119
[155 163 175 203 124 119],95
[163 175 203 124 119 95],84
[175 203 124 119 95 84],94
[203 124 119 95 84 94],79
[124 119 95 84 94 79],78
[119 95 84 94 79 78],93
[95 84 94 79 78 93],69
[84 94 79 78 93 69],104
[94 79 78 93 69 104],81
[79 78 93 69 104 81],70
[78 93 69 104 81 70],68
[93 69 104 81 70 68],58
[69 104 81 70 68 58],46
[104 81 70 68 58 46],53
[81 70 68 58 46 53],40
[70 68 58 46 53 40],35
[68 58 46 53 40 35],26
[58 46 53 40 35 26],30
[21 24 15 15 8 15],9
[24 15 15 8 15 9],14
[15 15 8 15 9 14],12
[15 8 15 9 14 12],5
[8 15 9 14 12 5],10
[15 9 14 12 5 10],8
[9 14 12 5 10 8],4
[14 12 5 10 8 4],15
[12 5 10 8 4 15],7
[5 10 8 4 15 7],4
[10 8 4 15 7 4],10
[8 4 15 7 4 10],10
[4 15 7 4 10 10],11
[15 7 4 10 10 11],24
[7 4 10 10 11 24],17
[4 10 10 11 24 17],33
[10 10 11 24 17 33],33
[10 11 24 17 33 33],49
[11 24 17 33 33 49],85
[24 17 33 33 49 85],113
[17 33 33 49 85 113],216
[33 33 49 85 113 216],220
[33 49 85 113 216 220],231
[49 85 113 216 220 231],303
[85 113 216 220 231 303],327
[113 216 220 231 303 327],313
[216 220 231 303 327 313],302
[220 231 303 327 313 302],305
[231 303 327 313 302 305],302
[303 327 313 302 305 302],300
[327 313 302 305 302 300],292
[313 302 305 302 300 292],249
[302 305 302 300 292 249],229
[305 302 300 292 249 229],209
[302 300 292 249 229 209],169
[300 292 249 229 209 169],205
[292 249 229 209 169 205],178
[249 229 209 169 205 178],161
[229 209 169 205 178 161],179
[209 169 205 178 161 179],187
[169 205 178 161 179 187],162
[205 178 161 179 187 162],171
[178 161 179 187 162 171],165
[161 179 187 162 171 165],204
[179 187 162 171 165 204],160
[187 162 171 165 204 160],183
[162 171 165 204 160 183],169
[171 165 204 160 183 169],170
[165 204 160 183 169 170],157
[204 160 183 169 170 157],169
[160 183 169 170 157 169],179
[183 169 170 157 169 179],160
[169 170 157 169 179 160],172
[170 157 169 179 160 172],202
[157 169 179 160 172 202],219
[169 179 160 172 202 219],226
[179 160 172 202 219 226],183
[160 172 202 219 226 183],203
[172 202 219 226 183 203],164
[202 219 226 183 203 164],202
[219 226 183 203 164 202],183
[226 183 203 164 202 183],197
[183 203 164 202 183 197],192
[203 164 202 183 197 192],220
[164 202 183 197 192 220],210
[202 183 197 192 220 210],229
[183 197 192 220 210 229],206
[197 192 220 210 229 206],193
[192 220 210 229 206 193],185
[220 210 229 206 193 185],177
[210 229 206 193 185 177],150
[229 206 193 185 177 150],167
[206 193 185 177 150 167],122
[193 185 177 150 167 122],95
[185 177 150 167 122 95],105
[177 150 167 122 95 105],88
[150 167 122 95 105 88],94
[167 122 95 105 88 94],88
[122 95 105 88 94 88],82
[95 105 88 94 88 82],69
[105 88 94 88 82 69],87
[88 94 88 82 69 87],72
[94 88 82 69 87 72],90
[88 82 69 87 72 90],65
[82 69 87 72 90 65],52
